,actual_x,predicted_x,date,team_x,opponent_x,result_x,new_team_x,actual_y,predicted_y,team_y,opponent_y,result_y,new_team_y
0,0,0,2022-09-04,Arsenal,Manchester Utd,L,Arsenal,1,1,Manchester United,Arsenal,W,Manchester Utd
1,1,1,2022-09-18,Arsenal,Brentford,W,Arsenal,0,0,Brentford,Arsenal,L,Brentford
2,1,1,2022-10-01,Arsenal,Tottenham,W,Arsenal,0,0,Tottenham Hotspur,Arsenal,L,Tottenham
3,1,1,2022-10-09,Arsenal,Liverpool,W,Arsenal,0,0,Liverpool,Arsenal,L,Liverpool
4,1,1,2022-10-16,Arsenal,Leeds United,W,Arsenal,0,0,Leeds United,Arsenal,L,Leeds United
5,0,0,2022-10-23,Arsenal,Southampton,D,Arsenal,0,0,Southampton,Arsenal,D,Southampton
6,1,1,2022-10-30,Arsenal,Nott'ham Forest,W,Arsenal,0,0,Nottingham Forest,Arsenal,L,Nottingham Forest
7,0,0,2022-09-03,Aston Villa,Manchester City,D,Aston Villa,0,0,Manchester City,Aston Villa,D,Manchester City
8,1,1,2022-09-16,Aston Villa,Southampton,W,Aston Villa,0,0,Southampton,Aston Villa,L,Southampton
9,0,0,2022-10-02,Aston Villa,Leeds United,D,Aston Villa,0,0,Leeds United,Aston Villa,D,Leeds United
10,0,0,2022-10-10,Aston Villa,Nott'ham Forest,D,Aston Villa,0,0,Nottingham Forest,Aston Villa,D,Nottingham Forest
11,0,0,2022-10-16,Aston Villa,Chelsea,L,Aston Villa,1,1,Chelsea,Aston Villa,W,Chelsea
12,0,0,2022-10-20,Aston Villa,Fulham,L,Aston Villa,1,1,Fulham,Aston Villa,W,Fulham
13,1,1,2022-10-23,Aston Villa,Brentford,W,Aston Villa,0,0,Brentford,Aston Villa,L,Brentford
14,0,0,2022-10-29,Aston Villa,Newcastle Utd,L,Aston Villa,1,1,Newcastle United,Aston Villa,W,Newcastle Utd
15,1,1,2022-09-03,Bournemouth,Nott'ham Forest,W,Bournemouth,0,0,Nottingham Forest,Bournemouth,L,Nottingham Forest
16,0,0,2022-09-17,Bournemouth,Newcastle Utd,D,Bournemouth,0,0,Newcastle United,Bournemouth,D,Newcastle Utd
17,0,0,2022-10-01,Bournemouth,Brentford,D,Bournemouth,0,0,Brentford,Bournemouth,D,Brentford
18,1,1,2022-10-08,Bournemouth,Leicester City,W,Bournemouth,0,0,Leicester City,Bournemouth,L,Leicester City
19,0,0,2022-10-15,Bournemouth,Fulham,D,Bournemouth,0,0,Fulham,Bournemouth,D,Fulham
20,0,0,2022-10-19,Bournemouth,Southampton,L,Bournemouth,1,0,Southampton,Bournemouth,W,Southampton
21,0,0,2022-10-24,Bournemouth,West Ham,L,Bournemouth,1,1,West Ham United,Bournemouth,W,West Ham
22,0,0,2022-10-29,Bournemouth,Tottenham,L,Bournemouth,1,1,Tottenham Hotspur,Bournemouth,W,Tottenham
23,1,1,2022-09-03,Brentford,Leeds United,W,Brentford,0,0,Leeds United,Brentford,L,Leeds United
24,0,0,2022-09-18,Brentford,Arsenal,L,Brentford,1,1,Arsenal,Brentford,W,Arsenal
25,0,0,2022-10-01,Brentford,Bournemouth,D,Brentford,0,0,Bournemouth,Brentford,D,Bournemouth
26,0,0,2022-10-08,Brentford,Newcastle Utd,L,Brentford,1,1,Newcastle United,Brentford,W,Newcastle Utd
27,1,1,2022-10-14,Brentford,Brighton,W,Brentford,0,0,Brighton and Hove Albion,Brentford,L,Brighton
28,0,0,2022-10-19,Brentford,Chelsea,D,Brentford,0,0,Chelsea,Brentford,D,Chelsea
29,0,0,2022-10-23,Brentford,Aston Villa,L,Brentford,1,1,Aston Villa,Brentford,W,Aston Villa
30,0,0,2022-10-29,Brentford,Wolves,D,Brentford,0,0,Wolverhampton Wanderers,Brentford,D,Wolves
31,1,0,2022-09-04,Brighton and Hove Albion,Leicester City,W,Brighton,0,0,Leicester City,Brighton,L,Leicester City
